Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=e11bc11a4d72cc54,MPK/MPI-SDJointPostdoctoralPositionforUltrafastNonli...,POSTECH/MaxPlanckPOSTECH/KOREARes.Init.대한민국,,"ExperienceincomputerprogrammingusingC/C++,FORTRAN,Python,MathematicaorMatlabishighlydesirable.Thecandidatemay..."
https://kr.indeed.com/viewjob?jk=efdbdb9cb734f9c4,Public클라우드환경AI플랫폼상용화/구조개선/운영효율화,에이스파트너스서치펌서울,,통신·모바일·게임>빅데이터·AI(인공지능)>R|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI...
https://kr.indeed.com/viewjob?jk=91d6041cfb272f25,(IT인프라)보안팀엔지니어,크래프톤성남백현동,,"지식보유우대사항-Windows와Linux를자유롭게이용하는분-PowerShell,Python등을이용해Tool을개발할수있는분-영어를읽고쓰고말하기에자유로운분근무조건-근무형태..."
https://kr.indeed.com/viewjob?jk=eeeef3d29a52a970,퀀트운용본부경력사원,디비자산운용대한민국,,"3년이상-주식및시장에대한퀀트/계량적접근방식유경험자우대-프로그래밍능력(VBA,R,Python등)보유및모델개발경험자우대-투자자산운용사자격보유자-영어등외국어활용능력우수자우대..."
https://kr.indeed.com/viewjob?jk=f775c2b405edea87,"ComputerVisionEngineer,Perception–A...",NVIDIA서울,,"PyTorch,etc).StrongprogrammingskillsinC++...python.Outstandingcommunicationandteamworkskillsaswework..."
https://kr.indeed.com/viewjob?jk=b2ebc1da56d8b120,GNI소프트웨어개발자,KAN울산북구,,"2,3년제졸업자는2년이상경력자C#,python등가능자인터넷·IT·통신·모바일·게임>소프트웨어·하드웨어>소프트웨어"
https://kr.indeed.com/viewjob?jk=464ef95516a5fa5c,8퍼센트경력개발자,8퍼센트서울종로구,,"개발업무-금융서비스개발-Python/Django기반-정해진역할이아닌기능에따른업무분배-프로트엔드부터백엔드까지업무범위...SQL기본-gitflow-python,django경험자우대"
https://kr.indeed.com/viewjob?jk=04d685fc70b67d4e,Linux/Python/PHP/MySQL/백엔드정규직경력,일루미나리안용인보정동,,"보유-DBMS(MySQLorMariaDB),scriptingLanguage:bash,python,OOP언어중가능자-Back-End서버를개발해보신분[우대사항]-Go(akaGoLang..."
https://kr.indeed.com/viewjob?jk=d7e490bf343e5721,인공지능AI기술연구개발(신입/경력),아이디어콘서트성남분당구,,래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>Python|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>자바...
https://kr.indeed.com/viewjob?jk=e8096b963d7ee409,[유통대기업]데이터분석(팀장/팀원-3명)경력,에이치알니즈서울,,"Learning알고리즘에대한기본지식보유-SQL,SAS,R,Python중2개이상의분석도구에대한기본이해-현상에대한문제인식과...지식보유-SQL,SAS,R,Python중2개이상의분석도구에대한..."
https://kr.indeed.com/viewjob?jk=bfc63c0dc39852e3,딥러닝전문연구요원특별,베이리스성남수정구,,"상처리소프트웨어개발자격요건-석사이상학위소지및20년2월석사졸업예정자-C++/python프로그래밍스킬우대조건-tensorflow,pytorch등등딥러닝프레임워크사용경험-영상..."
https://kr.indeed.com/viewjob?jk=a68056f9b2614197,[온라인공채]ZUM빅데이터분석플랫폼개발및운영(신입),미래에셋제5호기업인수목적서울서초구,,"데이터분석에기반한의사결정및협업부서업무지원자격조건-Python,Java,Shell등에대해능숙하게다룰수있는언어가하나...게임>빅데이터·AI(인공지능)>Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=9f7af88b0ef15493,DeepLearningArchitect,AmazonWebServicesKoreaLLC서울,,"deeplearning(e.g.,CNN,RNN,LSTM)·ExperienceinusingPython,RorMatlaborotherstatistical/machinelearningsoftware..."
https://kr.indeed.com/viewjob?jk=de8ad67cf88179fe,DevOpsEngineer,Nielsen3.8서울,,"leastone...followingprogramminglanguages:C/C++,Python,Go,JavaScriptKnowledgeinnetworkandmultithread..."
https://kr.indeed.com/viewjob?jk=aac8e9355cb855ac,[인재풀]아티스트,ElectronicArts서울,,Mayaor3DMax등의아트웍툴사용경험-Maxscript또는MelScript의사용경험-C#또는Python언어에대한이해및활용능력-아트웍관련툴제작또는플러그인제작경험
https://kr.indeed.com/viewjob?jk=e11bc11a4d72cc54,MPK/MPI-SDJointPostdoctoralPositionforUltrafastNonli...,POSTECH/MaxPlanckPOSTECH/KOREARes.Init.대한민국,,"ExperienceincomputerprogrammingusingC/C++,FORTRAN,Python,MathematicaorMatlabishighlydesirable.Thecandidatemay..."
https://kr.indeed.com/viewjob?jk=2a2fb5091859871a,(주)엔디소프트2020년도개발자,엔디소프트부산해운대구,,모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=a26c6742b80a60ba,[2020YGENTERTAINMENT]정보관리팀경력(IT시스...,YG엔터테인먼트서울합정동,,"리기사보유자-개발프로젝트참여경력보유자-PM/PL업무수행가능자-개발언어(PHP/Python),SE/NE업무가능자-원만한커뮤니케이션및교류가능자#접수방법-당사Recruit..."
https://kr.indeed.com/viewjob?jk=03b6d0d5e9de3616,[대형보험사]빅데이터엔지니어(사원~대리급),커리어라임즈서울,,"SQL숙련구사-ETL툴(DataStage등)운용기술-Python,Java,R,Scala중1개이상사용가능[우대조건...게임>빅데이터·AI(인공지능)>Python|인터넷·IT·통신·모바일·게임..."
